name,url,price,img,brand,code
Spring Break,http://www.koovs.com/spring-break-cocktail-glass-print--frill-detail-top-88801.html,800,http://images.koovscdn.com/uploads/products/88801_92c5f8da4b0dba136f34a2c3ddfa207e_image1_zoom.jpg,Spring Break,88801
Spring Break,http://www.koovs.com/spring-break-sequins-bomber-85331.html,1945,http://images.koovscdn.com/uploads/products/85331_a366f9e46fc97cd16eb2324c6d85592b_image1_zoom.jpg,Spring Break,85331
Spring Break,http://www.koovs.com/spring-break-oversized-sleeves-top-88803.html,800,http://images.koovscdn.com/uploads/products/88803_8faa5470003b8c33d803ea3f85ec59c3_image1_zoom.jpg,Spring Break,88803
Style Fiesta,http://www.koovs.com/style-fiesta-earring-e855-85907.html,499,http://images.koovscdn.com/uploads/products/85907_e5552cd988ddcc44a640e1e64daec7e9_image1_zoom.jpg,Style Fiesta,85907
Style Fiesta,http://www.koovs.com/style-fiesta-antique-boho-choker-jn705-92353.html,499,http://images.koovscdn.com/uploads/products/92353_aa12f886d680f1466b745c86d2099a59_image1_zoom.jpg,Style Fiesta,92353
Style Fiesta,http://www.koovs.com/style-fiesta-crystal-choker-87933.html,449,http://images.koovscdn.com/uploads/products/87933_763e6fbb74528b39caac2dd66eb2633a_image1_zoom.jpg,Style Fiesta,87933
Spring Break,http://www.koovs.com/spring-break-knot-detail-top-in-lemon-print-88805.html,495,http://images.koovscdn.com/uploads/products/88805_544eeb2f33c9e3b519d83637962eb708_image1_zoom.jpg,Spring Break,88805
Spring Break,http://www.koovs.com/spring-break-lemon-print--frill-detail-top-88802.html,800,http://images.koovscdn.com/uploads/products/88802_cca6b3c6109a21bd8b640338db5ad3da_image1_zoom.jpg,Spring Break,88802
Style Fiesta,http://www.koovs.com/style-fiesta-set-of-rings-jr298-92354.html,499,http://images.koovscdn.com/uploads/products/92354_318d46938d9b5d4a1374d54be6803153_image1_zoom.jpg,Style Fiesta,92354
Style Fiesta,http://www.koovs.com/style-fiesta-statement-hoops-83270.html,599,http://images.koovscdn.com/uploads/products/83270_202f3c6b90a001733106722a7543e121_image1_zoom.jpg,Style Fiesta,83270
Style Fiesta,http://www.koovs.com/style-fiesta-set-of-rings-jr299-92355.html,499,http://images.koovscdn.com/uploads/products/92355_0d747d72e88067ad4311e2d24a1576bc_image1_zoom.jpg,Style Fiesta,92355
Style Fiesta,http://www.koovs.com/style-fiesta-antique-boho-necklace-jn703-92351.html,499,http://images.koovscdn.com/uploads/products/92351_af3f9a8a5fbcf1f345c428752bf4d0ca_image1_zoom.jpg,Style Fiesta,92351
Style Fiesta,http://www.koovs.com/style-fiesta-baroque-choker-necklaces-jn428-82279.html,225,http://images.koovscdn.com/uploads/products/82279_735478fbea2a0201941d11ec935f4a42_image1_zoom.jpg,Style Fiesta,82279
Style Fiesta,http://www.koovs.com/style-fiesta-floral-hoops-83269.html,499,http://images.koovscdn.com/uploads/products/83269_737b62db80906f1b16a181b863240034_image1_zoom.jpg,Style Fiesta,83269
Style Fiesta,http://www.koovs.com/style-fiesta-browbar-sunglass_366-90074.html,599,http://images.koovscdn.com/uploads/products/90074_30f59c462bd112067d792a77f3cfaa7d_image1_zoom.jpg,Style Fiesta,90074
Style Fiesta,http://www.koovs.com/style-fiesta-antique-choker-85733.html,499,http://images.koovscdn.com/uploads/products/85733_6e12628d92cd5958c73b706236645af4_image1_zoom.jpg,Style Fiesta,85733
Style Fiesta,http://www.koovs.com/style-fiesta-abnormal-iphone-case-83278.html,199,http://images.koovscdn.com/uploads/products/83278_488fe1cff3434c022ee827e0a8b566ff_image1_zoom.jpg,Style Fiesta,83278
Style Fiesta,http://www.koovs.com/style-fiesta-bolo-tie-choker_130-90072.html,399,http://images.koovscdn.com/uploads/products/90072_a3ec935082bf194a4d09416edbc19d80_image1_zoom.jpg,Style Fiesta,90072
Style Fiesta,http://www.koovs.com/style-fiesta-earrings-e729-82280.html,349,http://images.koovscdn.com/uploads/products/82280_09e3c8f1f8d1e5bb3ccc8ecda76a1f86_image1_zoom.jpg,Style Fiesta,82280
Style Fiesta,http://www.koovs.com/style-fiesta-soft-cat-eye-sunglasses-js298-92359.html,599,http://images.koovscdn.com/uploads/products/92359_4c07f4872ccc5500cebdca7507ebb5df_image1_zoom.jpg,Style Fiesta,92359
Style Fiesta,http://www.koovs.com/style-fiesta-pikachu-iphone-case-83275.html,199,http://images.koovscdn.com/uploads/products/83275_13178247ff0a525f988d2cca6290bc6b_image1_zoom.jpg,Style Fiesta,83275
Style Fiesta,http://www.koovs.com/style-fiesta-antique-boho-choker-jn704-92352.html,499,http://images.koovscdn.com/uploads/products/92352_97a40a090c9f8fad0042e89d1c2f64b7_image1_zoom.jpg,Style Fiesta,92352
Style Fiesta,http://www.koovs.com/style-fiesta-sunglasses-js296-92357.html,599,http://images.koovscdn.com/uploads/products/92357_057ffbb61acc2edfc94c0806e801721c_image1_zoom.jpg,Style Fiesta,92357
Style Fiesta,http://www.koovs.com/style-fiesta-vintage-sunglass-90075.html,899,http://images.koovscdn.com/uploads/products/90075_14695dbeec161d45de5192e91da192f2_image1_zoom.jpg,Style Fiesta,90075
Style Fiesta,http://www.koovs.com/style-fiesta-choker_285-88449.html,399,http://images.koovscdn.com/uploads/products/88449_ed38cd6fe661da53a42dd5b6f1f1d197_image1_zoom.jpg,Style Fiesta,88449
Style Fiesta,http://www.koovs.com/style-fiesta-double-wrap-belt-87935.html,599,http://images.koovscdn.com/uploads/products/87935_1be729543d51e8d9c40bb6af32173201_image1_zoom.jpg,Style Fiesta,87935
Style Fiesta,http://www.koovs.com/style-fiesta-sequin-pussy-bow-choker-83684.html,599,http://images.koovscdn.com/uploads/products/83684_180976aaa246f96a229ad53239ff245a_image1_zoom.jpg,Style Fiesta,83684
Style Fiesta,http://www.koovs.com/style-fiesta-pearl-hoops-83271.html,349,http://images.koovscdn.com/uploads/products/83271_6ef5ee705ec91a0b9c041558dd1b5559_image1_zoom.jpg,Style Fiesta,83271
